id,upr_cd,org_cd,org_nm,upr_nm
1,6110000,6119999,가정보호,서울특별시
2,6110000,3220000,강남구,서울특별시
3,6110000,3240000,강동구,서울특별시
4,6110000,3080000,강북구,서울특별시
5,6110000,3150000,강서구,서울특별시
6,6110000,3200000,관악구,서울특별시
7,6110000,3040000,광진구,서울특별시
8,6110000,3160000,구로구,서울특별시
9,6110000,3170000,금천구,서울특별시
10,6110000,3100000,노원구,서울특별시
11,6110000,3090000,도봉구,서울특별시
12,6110000,3050000,동대문구,서울특별시
13,6110000,3190000,동작구,서울특별시
14,6110000,3130000,마포구,서울특별시
15,6110000,3120000,서대문구,서울특별시
16,6110000,6119998,서울특별시,서울특별시
17,6110000,3210000,서초구,서울특별시
18,6110000,3030000,성동구,서울특별시
19,6110000,3070000,성북구,서울특별시
20,6110000,3230000,송파구,서울특별시
21,6110000,3140000,양천구,서울특별시
22,6110000,3180000,영등포구,서울특별시
23,6110000,3020000,용산구,서울특별시
24,6110000,3110000,은평구,서울특별시
25,6110000,3000000,종로구,서울특별시
26,6110000,3010000,중구,서울특별시
27,6110000,3060000,중랑구,서울특별시
28,6260000,3360000,강서구,부산광역시
29,6260000,3350000,금정구,부산광역시
30,6260000,3400000,기장군,부산광역시
31,6260000,3310000,남구,부산광역시
32,6260000,3270000,동구,부산광역시
33,6260000,3300000,동래구,부산광역시
34,6260000,3290000,부산진구,부산광역시
35,6260000,3320000,북구,부산광역시
36,6260000,3390000,사상구,부산광역시
37,6260000,3340000,사하구,부산광역시
38,6260000,3260000,서구,부산광역시
39,6260000,3380000,수영구,부산광역시
40,6260000,3370000,연제구,부산광역시
41,6260000,3280000,영도구,부산광역시
42,6260000,3250000,중구,부산광역시
43,6260000,3330000,해운대구,부산광역시
44,6270000,3440000,남구,대구광역시
45,6270000,3470000,달서구,대구광역시
46,6270000,3480000,달성군,대구광역시
47,6270000,3420000,동구,대구광역시
48,6270000,3450000,북구,대구광역시
49,6270000,3430000,서구,대구광역시
50,6270000,3460000,수성구,대구광역시
51,6270000,3410000,중구,대구광역시
52,6280000,3570000,강화군,인천광역시
53,6280000,3550000,계양구,인천광역시
54,6280000,3530000,남동구,인천광역시
55,6280000,3500000,동구,인천광역시
56,6280000,3510500,미추홀구,인천광역시
57,6280000,3540000,부평구,인천광역시
58,6280000,3560000,서구,인천광역시
59,6280000,3520000,연수구,인천광역시
60,6280000,3580000,옹진군,인천광역시
61,6280000,3490000,중구,인천광역시
62,6290000,3630000,광산구,광주광역시
63,6290000,3610000,남구,광주광역시
64,6290000,3590000,동구,광주광역시
65,6290000,3620000,북구,광주광역시
66,6290000,3600000,서구,광주광역시
67,6300000,3680000,대덕구,대전광역시
68,6300000,3640000,동구,대전광역시
69,6300000,3660000,서구,대전광역시
70,6300000,3670000,유성구,대전광역시
71,6300000,3650000,중구,대전광역시
72,6310000,3700000,남구,울산광역시
73,6310000,3710000,동구,울산광역시
74,6310000,3720000,북구,울산광역시
75,6310000,3730000,울주군,울산광역시
76,6310000,3690000,중구,울산광역시
77,6410000,4160000,가평군,경기도
78,6410000,3940000,고양시,경기도
79,6410000,3970000,과천시,경기도
80,6410000,3900000,광명시,경기도
81,6410000,5540000,광주시,경기도
82,6410000,3980000,구리시,경기도
83,6410000,4020000,군포시,경기도
84,6410000,4090000,김포시,경기도
85,6410000,3990000,남양주시,경기도
86,6410000,3920000,동두천시,경기도
87,6410000,3860000,부천시,경기도
88,6410000,3780000,성남시,경기도
89,6410000,3740000,수원시,경기도
90,6410000,4010000,시흥시,경기도
91,6410000,3930000,안산시,경기도
92,6410000,4080000,안성시,경기도
93,6410000,3830000,안양시,경기도
94,6410000,5590000,양주시,경기도
95,6410000,4170000,양평군,경기도
96,6410000,5700000,여주시,경기도
97,6410000,4140000,연천군,경기도
98,6410000,4000000,오산시,경기도
99,6410000,4050000,용인시,경기도
100,6410000,5630000,"용인시 기흥구",경기도
101,6410000,4030000,의왕시,경기도
102,6410000,3820000,의정부시,경기도
103,6410000,4070000,이천시,경기도
104,6410000,4060000,파주시,경기도
105,6410000,3910000,평택시,경기도
106,6410000,5600000,포천시,경기도
107,6410000,4040000,하남시,경기도
108,6410000,5530000,화성시,경기도
109,6420000,4200000,강릉시,강원도
110,6420000,4340000,고성군,강원도
111,6420000,4210000,동해시,강원도
112,6420000,4240000,삼척시,강원도
113,6420000,4230000,속초시,강원도
114,6420000,4320000,양구군,강원도
115,6420000,4350000,양양군,강원도
116,6420000,4270000,영월군,강원도
117,6420000,4190000,원주시,강원도
118,6420000,4330000,인제군,강원도
119,6420000,4290000,정선군,강원도
120,6420000,4300000,철원군,강원도
121,6420000,4180000,춘천시,강원도
122,6420000,4220000,태백시,강원도
123,6420000,4280000,평창군,강원도
124,6420000,4250000,홍천군,강원도
125,6420000,4310000,화천군,강원도
126,6420000,4260000,횡성군,강원도
127,6430000,4460000,괴산군,충청북도
128,6430000,4480000,단양군,충청북도
129,6430000,4420000,보은군,충청북도
130,6430000,4440000,영동군,충청북도
131,6430000,4430000,옥천군,충청북도
132,6430000,4470000,음성군,충청북도
133,6430000,4400000,제천시,충청북도
134,6430000,5570000,증평군,충청북도
135,6430000,4450000,진천군,충청북도
136,6430000,5710000,청주시,충청북도
